relative_time_s,lord_x_g,lord_y_g,prototype_calibrated_to_lord_y_g,lord_z_g,prototype_calibrated_to_lord_z_g,lord_x_norm,lord_y_norm,prototype_y_norm,lord_z_norm,prototype_z_norm,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
2.680,1.562538705,-1.104203877,0.106630345,0.291625779,-0.108725303,8.650816973,-4.456572168,0.033838812,1.286926520,-0.804303790,174,-531,2026-05-03T23:57:14.257Z,2026-05-03 19:57:14.257,102629,82
2.720,0.894336414,0.482912199,-0.301728523,1.220291405,-0.218529721,-1.330380654,1.415915727,-2.129423801,5.572431317,-1.531334446,-1948,-730,2026-05-03T23:57:14.297Z,2026-05-03 19:57:14.297,102629,83
2.760,1.196790466,-0.821834049,-0.048280929,-0.463328019,0.030767744,3.187493212,-3.411775621,-0.786796646,-2.196951885,0.119299487,-884,332,2026-05-03T23:57:14.337Z,2026-05-03 19:57:14.337,102629,84
2.800,0.802963209,0.129225522,-0.154472774,-0.054117057,-0.288329846,-2.695257776,0.107239720,-1.349343140,-0.308569793,-1.993490984,-1030,-1225,2026-05-03T23:57:14.377Z,2026-05-03 19:57:14.377,102629,85
2.840,1.077099056,-0.332715102,-0.238729731,-0.244760075,-0.393200817,1.399616045,-1.601986696,-1.795690552,-1.188328386,-2.687856584,-1353,-1692,2026-05-03T23:57:14.417Z,2026-05-03 19:57:14.417,102629,86
2.880,1.056519394,-0.135778196,-0.098686712,0.033618148,-0.426623055,1.092209621,-0.873300488,-1.053819000,0.096301059,-2.909149970,-526,-1992,2026-05-03T23:57:14.457Z,2026-05-03 19:57:14.457,102629,87
2.920,0.876839881,-0.044661407,-0.200379359,-0.730196986,-0.238063679,-1.591733182,-0.536159272,-1.592531192,-3.428469676,-1.660671553,-1356,-923,2026-05-03T23:57:14.497Z,2026-05-03 19:57:14.497,102629,88
2.960,1.115587716,-0.358876702,-0.133822514,-0.195044972,-0.173733090,1.974536134,-1.698787226,-1.239949321,-0.958908554,-1.234729585,-1075,-650,2026-05-03T23:57:14.537Z,2026-05-03 19:57:14.537,102629,89
3.000,0.931062877,-0.048787251,-0.067412631,-0.327996641,-0.016199562,-0.781783188,-0.551425309,-0.888145973,-1.572439412,-0.191677717,-925,106,2026-05-03T23:57:14.577Z,2026-05-03 19:57:14.577,102629,90
3.040,1.008484459,-0.182955087,-0.142103967,-0.085524511,0.062426612,0.374693105,-1.047859692,-1.283819940,-0.453505484,0.328917351,-1451,581,2026-05-03T23:57:14.617Z,2026-05-03 19:57:14.617,102629,91
3.080,1.040203276,-0.189561282,-0.013434964,0.196838147,0.035894770,0.848489414,-1.072303276,-0.602201727,0.849510901,0.153246256,-697,327,2026-05-03T23:57:14.657Z,2026-05-03 19:57:14.657,102629,92
3.120,0.983569989,-0.092040651,-0.145148953,0.297368091,0.126169898,0.002535976,-0.711467205,-1.299950617,1.313425518,0.750970699,-1557,914,2026-05-03T23:57:14.697Z,2026-05-03 19:57:14.697,102629,93
3.160,1.047833009,-0.301786486,-0.014556005,0.067136534,0.090130402,0.962457706,-1.487547730,-0.608140392,0.250978052,0.512348080,-779,609,2026-05-03T23:57:14.737Z,2026-05-03 19:57:14.737,102629,94
3.200,0.959254193,-0.080409206,-0.132423379,0.205606619,0.123955253,-0.360678529,-0.668429700,-1.232537468,0.889974686,0.736307224,-1483,891,2026-05-03T23:57:14.777Z,2026-05-03 19:57:14.777,102629,95
3.240,1.074500246,-0.301347017,-0.059097750,0.196103753,-0.038873363,1.360796606,-1.485921652,-0.844098268,0.846121899,-0.341804174,-847,-19,2026-05-03T23:57:14.817Z,2026-05-03 19:57:14.817,102629,96
3.280,0.962069900,-0.064211218,-0.147538298,0.182794805,-0.014380311,-0.318619222,-0.608495525,-1.312608063,0.784705219,-0.179632195,-1374,188,2026-05-03T23:57:14.857Z,2026-05-03 19:57:14.857,102629,97
3.320,1.053439960,-0.299361368,-0.095650728,-0.041348145,-0.133860080,1.046210925,-1.478574553,-1.037736013,-0.249645211,-0.970724722,-918,-478,2026-05-03T23:57:14.897Z,2026-05-03 19:57:14.897,102629,98
3.360,0.955846732,-0.089655890,-0.178031017,-0.050720624,-0.199026885,-0.411577109,-0.702643354,-1.474141864,-0.292896304,-1.402203394,-1286,-741,2026-05-03T23:57:14.937Z,2026-05-03 19:57:14.937,102629,99
3.400,1.040428829,-0.269442657,-0.114215171,-0.284424877,-0.249443311,0.851858594,-1.367872333,-1.136080310,-1.371369189,-1.736017717,-860,-1060,2026-05-03T23:57:14.977Z,2026-05-03 19:57:14.977,102629,100
3.440,0.958381844,-0.070911137,0.045664097,-0.244168366,-0.203733757,-0.373709156,-0.633285897,-0.289127128,-1.185597835,-1.433368265,-33,-968,2026-05-03T23:57:15.017Z,2026-05-03 19:57:15.017,102630,1
3.480,1.097148881,-0.114808207,0.465916009,-0.285560308,-0.243370731,1.699108079,-0.795709437,1.937138345,-1.376608849,-1.695810297,2364,-1554,2026-05-03T23:57:15.057Z,2026-05-03 19:57:15.057,102630,2
3.520,0.906757674,0.825915949,0.213052972,-0.417975621,-0.151692778,-1.144839462,2.685063837,0.597607856,-1.987664590,-1.088797552,827,-850,2026-05-03T23:57:15.097Z,2026-05-03 19:57:15.097,102630,3
3.560,0.894287040,0.250851321,0.444378937,-0.310489812,0.006492144,-1.331118175,0.557267316,1.823046683,-1.491650806,-0.041432706,1895,-240,2026-05-03T23:57:15.137Z,2026-05-03 19:57:15.137,102630,4
3.600,0.856237054,0.731218874,0.398173778,0.181717205,0.250305114,-1.899485627,2.334675208,1.578276942,0.779732428,1.572887602,1297,1065,2026-05-03T23:57:15.177Z,2026-05-03 19:57:15.177,102630,5
3.640,0.930639846,0.334116157,0.371982197,0.271389886,0.223142702,-0.788102164,0.865355520,1.439528231,1.193544131,1.393041415,1189,948,2026-05-03T23:57:15.217Z,2026-05-03 19:57:15.217,102630,6
3.680,0.902062383,0.501815234,0.418333098,0.341537092,0.183956352,-1.214974859,1.485858843,1.685070030,1.517251802,1.133583024,1502,703,2026-05-03T23:57:15.257Z,2026-05-03 19:57:15.257,102630,7
3.720,0.904550006,0.432483450,0.355377975,0.225419958,0.299377960,-1.177816255,1.229324322,1.351568118,0.981407124,1.897805887,990,1358,2026-05-03T23:57:15.297Z,2026-05-03 19:57:15.297,102630,8
3.760,0.942370019,0.361475092,0.464374883,0.347438084,0.268827782,-0.612884011,0.966586310,1.928974298,1.544483056,1.695528821,1640,1101,2026-05-03T23:57:15.337Z,2026-05-03 19:57:15.337,102630,9
3.800,0.909064126,0.536173928,0.325229800,0.380677843,0.310127805,-1.110387094,1.612989438,1.191859523,1.697874270,1.968982135,807,1441,2026-05-03T23:57:15.377Z,2026-05-03 19:57:15.377,102630,10
3.840,0.950425928,0.260492787,0.413801267,0.295058485,0.248211772,-0.492549768,0.592941703,1.661062859,1.302767400,1.559027288,1387,1040,2026-05-03T23:57:15.417Z,2026-05-03 19:57:15.417,102630,11
3.880,0.901746833,0.497675755,0.384083736,0.345159250,0.252088188,-1.219688342,1.470542356,1.503635584,1.533966945,1.584693591,1216,1087,2026-05-03T23:57:15.457Z,2026-05-03 19:57:15.457,102630,12
3.920,0.953687799,0.364111248,0.049345393,0.308316991,0.297796596,-0.443825927,0.976340350,-0.269625629,1.363951307,1.887335453,-713,1627,2026-05-03T23:57:15.497Z,2026-05-03 19:57:15.497,102630,13
3.960,1.096588395,-0.127965340,-0.113054794,0.202927372,0.368037335,1.690735877,-0.844392142,-1.129933264,0.877610791,2.352409362,-1716,2138,2026-05-03T23:57:15.537Z,2026-05-03 19:57:15.537,102630,14
4.000,1.066020608,-0.317258865,-0.054038898,0.090345070,0.178193413,1.234132952,-1.544797076,-0.817299226,0.358078268,1.095425788,-1122,1101,2026-05-03T23:57:15.577Z,2026-05-03 19:57:15.577,102630,15
4.040,0.999480619,-0.149915426,-0.225136979,0.528272521,-0.332532371,0.240199251,-0.925609651,-1.723683562,2.378978084,-2.286162185,-1362,-1390,2026-05-03T23:57:15.617Z,2026-05-03 19:57:15.617,102630,16
4.080,0.979488347,-0.171414887,-0.141674772,-0.480987351,-0.510767582,-0.058433108,-1.005159800,-1.281546304,-2.278444245,-3.466282839,-648,-2389,2026-05-03T23:57:15.657Z,2026-05-03 19:57:15.657,102630,17
4.120,0.978733461,-0.088842754,-0.276237421,-0.395028478,-0.533521113,-0.069709129,-0.699634669,-1.994385841,-1.881770617,-3.616937199,-1366,-2385,2026-05-03T23:57:15.697Z,2026-05-03 19:57:15.697,102630,18
4.160,1.022607365,-0.237667992,-0.179492623,-0.926386726,-0.509851506,0.585652444,-1.250302903,-1.481884653,-4.333824679,-3.460217365,-860,-2350,2026-05-03T23:57:15.737Z,2026-05-03 19:57:15.737,102630,19
4.200,0.958235657,-0.082215469,-0.201875136,-0.829234767,-0.402971197,-0.375892799,-0.675113050,-1.600455002,-3.885498420,-2.752547658,-1134,-1776,2026-05-03T23:57:15.777Z,2026-05-03 19:57:15.777,102630,20
4.240,1.039785261,-0.161294239,-0.117041510,-0.347520874,-0.139723053,0.842245368,-0.967712394,-1.151052713,-1.662537708,-1.009544302,-1029,-489,2026-05-03T23:57:15.817Z,2026-05-03 19:57:15.817,102630,21
4.280,0.982049687,-0.150587039,-0.085582016,-0.174579669,0.204140975,-0.020173371,-0.928094685,-0.984397467,-0.864467510,1.267228281,-1334,1264,2026-05-03T23:57:15.857Z,2026-05-03 19:57:15.857,102630,22
4.320,1.028932338,-0.252055371,-0.027764241,0.126940046,0.295896703,0.680131028,-1.303537640,-0.678110422,0.526952771,1.874755987,-1140,1687,2026-05-03T23:57:15.897Z,2026-05-03 19:57:15.897,102630,23
4.360,1.044362378,-0.205455740,-0.012486796,0.423325131,0.223675923,0.910615545,-1.131114356,-0.597178851,1.894678320,1.396571945,-954,1299,2026-05-03T23:57:15.937Z,2026-05-03 19:57:15.937,102630,24
4.400,1.036923242,-0.138616067,0.230690825,0.473046398,0.358261221,0.799494269,-0.883800894,0.691043587,2.124126599,2.287680320,213,1776,2026-05-03T23:57:15.977Z,2026-05-03 19:57:15.977,102630,25
