relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
1.920,0.978605378,0.983559658,0.003416230,-0.033534311,-0.071622358,0.034343815,-0.043071457,-0.312805561,3785,-129,2026-05-03T23:57:13.497Z,2026-05-03 19:57:13.497,102629,63
1.960,0.978893435,0.983557394,-0.034661075,-0.043564052,-0.067319533,0.033856126,-0.218786449,-0.380590377,3786,-180,2026-05-03T23:57:13.537Z,2026-05-03 19:57:13.537,102629,64
2.000,0.972195387,0.983069480,-0.063130945,-0.037191268,-0.167370885,-0.071240207,-0.350166098,-0.337520669,3798,-154,2026-05-03T23:57:13.577Z,2026-05-03 19:57:13.577,102629,65
2.040,0.963525245,0.982917629,-0.052061484,-0.016729035,-0.296880165,-0.103948796,-0.299083959,-0.199229094,3800,-52,2026-05-03T23:57:13.617Z,2026-05-03 19:57:13.617,102629,66
2.080,0.960687633,0.982853453,-0.030817489,0.011575204,-0.339266689,-0.117772163,-0.201049487,-0.007938243,3799,91,2026-05-03T23:57:13.657Z,2026-05-03 19:57:13.657,102629,67
2.120,0.956971507,0.981701844,0.008635122,0.040712340,-0.394775901,-0.365827755,-0.018987883,0.188981639,3826,224,2026-05-03T23:57:13.697Z,2026-05-03 19:57:13.697,102629,68
2.160,0.953899636,0.981412488,0.046252353,0.067038439,-0.440661631,-0.428154859,0.154604011,0.366903465,3831,354,2026-05-03T23:57:13.737Z,2026-05-03 19:57:13.737,102629,69
2.200,0.956286049,0.981815811,0.078421886,0.073280402,-0.405014857,-0.341279481,0.303056462,0.409089027,3820,391,2026-05-03T23:57:13.777Z,2026-05-03 19:57:13.777,102629,70
2.240,0.958676171,0.981728233,0.100158556,0.076064043,-0.369312668,-0.360143679,0.403364474,0.427901938,3822,404,2026-05-03T23:57:13.817Z,2026-05-03 19:57:13.817,102629,71
2.280,0.962855983,0.981647779,0.101976716,0.066235678,-0.306877198,-0.377473352,0.411754719,0.361478094,3825,353,2026-05-03T23:57:13.857Z,2026-05-03 19:57:13.857,102629,72
2.320,0.961816201,0.982267421,0.088772332,0.055588113,-0.322408820,-0.244002945,0.350820568,0.289517790,3810,307,2026-05-03T23:57:13.897Z,2026-05-03 19:57:13.897,102629,73
2.360,0.947763324,0.981278106,0.070312767,0.018780885,-0.532322118,-0.457100721,0.265635383,0.040760497,3839,107,2026-05-03T23:57:13.937Z,2026-05-03 19:57:13.937,102629,74
2.400,0.920980513,0.984334099,0.077902149,0.019765172,-0.932387383,0.201157671,0.300658033,0.047412684,3760,152,2026-05-03T23:57:13.977Z,2026-05-03 19:57:13.977,102629,75
2.440,0.931538439,0.982845314,-0.002825529,-0.007491098,-0.774679539,-0.119525316,-0.071875242,-0.136795591,3801,-6,2026-05-03T23:57:14.017Z,2026-05-03 19:57:14.017,102629,76
2.480,0.911438022,0.985492500,0.016335217,0.020717259,-1.074927291,0.450676331,0.016545675,0.053847250,3730,172,2026-05-03T23:57:14.057Z,2026-05-03 19:57:14.057,102629,77
2.520,0.915478487,0.985473528,0.001034053,0.004630494,-1.014573288,0.446589853,-0.054064468,-0.054873245,3732,90,2026-05-03T23:57:14.097Z,2026-05-03 19:57:14.097,102629,78
2.560,0.895021253,0.985743054,0.041448634,0.026368792,-1.320150958,0.504645516,0.132436334,0.092042470,3723,204,2026-05-03T23:57:14.137Z,2026-05-03 19:57:14.137,102629,79
2.600,0.898210013,0.963828097,0.021244727,0.067461670,-1.272519205,-4.215818679,0.039201546,0.369763818,4285,126,2026-05-03T23:57:14.177Z,2026-05-03 19:57:14.177,102629,80
2.640,1.104611120,0.984793244,-0.015455430,0.585887640,1.810574451,0.300057210,-0.130158333,3.873484350,3695,3035,2026-05-03T23:57:14.217Z,2026-05-03 19:57:14.217,102629,81
2.680,1.562538705,0.987016651,0.291625779,-0.121541626,8.650816973,0.778977256,1.286926520,-0.907592579,3704,-531,2026-05-03T23:57:14.257Z,2026-05-03 19:57:14.257,102629,82
2.720,0.894336414,0.990248853,1.220291405,-0.169024487,-1.330380654,1.475191057,5.572431317,-1.228499876,3625,-730,2026-05-03T23:57:14.297Z,2026-05-03 19:57:14.297,102629,83
2.760,1.196790466,0.989247339,-0.463328019,0.042530915,3.187493212,1.259465742,-2.196951885,0.201272265,3631,332,2026-05-03T23:57:14.337Z,2026-05-03 19:57:14.337,102629,84
2.800,0.802963209,0.995454084,-0.054117057,-0.279834507,-2.695257776,2.596393764,-0.308569793,-1.977396272,3501,-1225,2026-05-03T23:57:14.377Z,2026-05-03 19:57:14.377,102629,85
2.840,1.077099056,0.987620522,-0.244760075,-0.351553726,1.399616045,0.909050609,-1.188328386,-2.462102124,3710,-1692,2026-05-03T23:57:14.417Z,2026-05-03 19:57:14.417,102629,86
2.880,1.056519394,0.993818680,0.033618148,-0.426549697,1.092209621,2.244128865,0.096301059,-2.968953512,3557,-1992,2026-05-03T23:57:14.457Z,2026-05-03 19:57:14.457,102629,87
2.920,0.876839881,0.988511681,-0.730196986,-0.202528199,-1.591733182,1.101005550,-3.428469676,-1.454930742,3673,-923,2026-05-03T23:57:14.497Z,2026-05-03 19:57:14.497,102629,88
2.960,1.115587716,0.987571727,-0.195044972,-0.146387545,1.974536134,0.898540199,-0.958908554,-1.075510779,3692,-650,2026-05-03T23:57:14.537Z,2026-05-03 19:57:14.537,102629,89
3.000,0.931062877,0.987494904,-0.327996641,0.002572909,-0.781783188,0.881992556,-1.572439412,-0.068779193,3680,106,2026-05-03T23:57:14.577Z,2026-05-03 19:57:14.577,102629,90
3.040,1.008484459,0.983594244,-0.085524511,0.106087518,0.374693105,0.041793683,-0.453505484,0.630812036,3771,581,2026-05-03T23:57:14.617Z,2026-05-03 19:57:14.617,102629,91
3.080,1.040203276,0.983621296,0.196838147,0.056036762,0.848489414,0.047620674,0.849510901,0.292549927,3775,327,2026-05-03T23:57:14.657Z,2026-05-03 19:57:14.657,102629,92
3.120,0.983569989,0.984995744,0.297368091,0.168004375,0.002535976,0.343675545,1.313425518,1.049269783,3729,914,2026-05-03T23:57:14.697Z,2026-05-03 19:57:14.697,102629,93
3.160,1.047833009,0.985606954,0.067136534,0.106413562,0.962457706,0.475329727,0.250978052,0.633015571,3719,609,2026-05-03T23:57:14.737Z,2026-05-03 19:57:14.737,102629,94
3.200,0.959254193,0.984660500,0.205606619,0.164341939,-0.360678529,0.271464382,0.889974686,1.024517646,3738,891,2026-05-03T23:57:14.777Z,2026-05-03 19:57:14.777,102629,95
3.240,1.074500246,0.987155132,0.196103753,-0.021149009,1.360796606,0.808806014,0.846121899,-0.229100962,3691,-19,2026-05-03T23:57:14.817Z,2026-05-03 19:57:14.817,102629,96
3.280,0.962069900,0.986145557,0.182794805,0.022183742,-0.318619222,0.591344315,0.784705219,0.063758302,3713,188,2026-05-03T23:57:14.857Z,2026-05-03 19:57:14.857,102629,97
3.320,1.053439960,0.990066866,-0.041348145,-0.118968252,1.046210925,1.435991208,-0.249645211,-0.890200737,3625,-478,2026-05-03T23:57:14.897Z,2026-05-03 19:57:14.897,102629,98
3.360,0.955846732,0.989944038,-0.050720624,-0.170403980,-0.411577109,1.409534226,-0.292896304,-1.237823016,3633,-741,2026-05-03T23:57:14.937Z,2026-05-03 19:57:14.937,102629,99
3.400,1.040428829,0.991972772,-0.284424877,-0.238400451,0.851858594,1.846521887,-1.371369189,-1.697369110,3587,-1060,2026-05-03T23:57:14.977Z,2026-05-03 19:57:14.977,102629,100
3.440,0.958381844,0.978066768,-0.244168366,-0.184482515,-0.373709156,-1.148820323,-1.185597835,-1.332971124,3941,-968,2026-05-03T23:57:15.017Z,2026-05-03 19:57:15.017,102630,1
3.480,1.097148881,0.971961126,-0.285560308,-0.284068283,1.699108079,-2.463970776,-1.376608849,-2.006009748,4108,-1554,2026-05-03T23:57:15.057Z,2026-05-03 19:57:15.057,102630,2
3.520,0.906757674,0.993306719,-0.417975621,-0.200513053,-1.144839462,2.133853041,-1.987664590,-1.441311620,3549,-850,2026-05-03T23:57:15.097Z,2026-05-03 19:57:15.097,102630,3
3.560,0.894287040,0.981880552,-0.310489812,-0.051051945,-1.331118175,-0.327334223,-1.491650806,-0.431196419,3830,-240,2026-05-03T23:57:15.137Z,2026-05-03 19:57:15.137,102630,4
3.600,0.856237054,0.978905189,0.181717205,0.213403603,-1.899485627,-0.968225023,0.779732428,1.356095093,3882,1065,2026-05-03T23:57:15.177Z,2026-05-03 19:57:15.177,102630,5
3.640,0.930639846,0.981218088,0.271389886,0.184424011,-0.788102164,-0.470028551,1.193544131,1.160239948,3825,948,2026-05-03T23:57:15.217Z,2026-05-03 19:57:15.217,102630,6
3.680,0.902062383,0.981004071,0.341537092,0.136765103,-1.214974859,-0.516127507,1.517251802,0.838142865,3835,703,2026-05-03T23:57:15.257Z,2026-05-03 19:57:15.257,102630,7
3.720,0.904550006,0.983150402,0.225419958,0.260125513,-1.177816255,-0.053809542,0.981407124,1.671859589,3768,1358,2026-05-03T23:57:15.297Z,2026-05-03 19:57:15.297,102630,8
3.760,0.942370019,0.977471778,0.347438084,0.224179250,-0.612884011,-1.276980712,1.544483056,1.428921028,3918,1101,2026-05-03T23:57:15.337Z,2026-05-03 19:57:15.337,102630,9
3.800,0.909064126,0.985631625,0.380677843,0.270067590,-1.110387094,0.480643874,1.697874270,1.739051939,3703,1441,2026-05-03T23:57:15.377Z,2026-05-03 19:57:15.377,102630,10
3.840,0.950425928,0.979509666,0.295058485,0.206927392,-0.492549768,-0.838021270,1.302767400,1.312326384,3867,1040,2026-05-03T23:57:15.417Z,2026-05-03 19:57:15.417,102630,11
3.880,0.901746833,0.974901631,0.345159250,0.228043735,-1.219688342,-1.830588412,1.533966945,1.455038690,3984,1087,2026-05-03T23:57:15.457Z,2026-05-03 19:57:15.457,102630,12
3.920,0.953687799,0.975410839,0.308316991,0.332991279,-0.443825927,-1.720905273,1.363951307,2.164314243,3961,1627,2026-05-03T23:57:15.497Z,2026-05-03 19:57:15.497,102630,13
3.960,1.096588395,0.981414265,0.202927372,0.418082109,1.690735877,-0.427772167,0.877610791,2.739390543,3798,2138,2026-05-03T23:57:15.537Z,2026-05-03 19:57:15.537,102630,14
4.000,1.066020608,0.980482079,0.090345070,0.216426299,1.234132952,-0.628564331,0.358078268,1.376523626,3841,1101,2026-05-03T23:57:15.577Z,2026-05-03 19:57:15.577,102630,15
4.040,0.999480619,0.990217253,0.528272521,-0.298815211,0.240199251,1.468384433,2.378978084,-2.105675114,3638,-1390,2026-05-03T23:57:15.617Z,2026-05-03 19:57:15.617,102630,16
4.080,0.979488347,0.993206200,-0.480987351,-0.503092314,-0.058433108,2.112201368,-2.278444245,-3.486257729,3580,-2389,2026-05-03T23:57:15.657Z,2026-05-03 19:57:15.657,102630,17
4.120,0.978733461,0.993046933,-0.395028478,-0.501895020,-0.069709129,2.077895180,-1.881770617,-3.478165958,3584,-2385,2026-05-03T23:57:15.697Z,2026-05-03 19:57:15.697,102630,18
4.160,1.022607365,0.993608079,-0.926386726,-0.496453081,0.585652444,2.198765636,-4.333824679,-3.441387253,3569,-2350,2026-05-03T23:57:15.737Z,2026-05-03 19:57:15.737,102630,19
4.200,0.958235657,0.990300537,-0.829234767,-0.374985212,-0.375892799,1.486323686,-3.885498420,-2.620461048,3643,-1776,2026-05-03T23:57:15.777Z,2026-05-03 19:57:15.777,102630,20
4.240,1.039785261,0.988315543,-0.347520874,-0.116622301,0.842245368,1.058757675,-1.662537708,-0.874345905,3670,-489,2026-05-03T23:57:15.817Z,2026-05-03 19:57:15.817,102630,21
