relative_time_s,lord_ch1_norm,lord_ch2_norm,lord_ch3_norm,our_x_norm_original,our_y_norm_original,our_z_norm_original,our_mapped_to_lord_ch1_norm,our_mapped_to_lord_ch2_norm,our_mapped_to_lord_ch3_norm,lord_dynamic_magnitude_norm,our_dynamic_magnitude_norm,our_x_raw,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
3.760,-0.61288401,0.96658631,1.54448306,1.15857911,1.69704192,1.36627239,-1.15857911,1.69704192,1.36627239,0.68453647,1.32107222,3918,1640,1101,2026-05-03T23:57:15.337Z,2026-05-03 19:57:15.337,102630,9
3.800,-1.11038709,1.61298944,1.69787427,-0.71110675,0.85119288,1.83226137,0.71110675,0.85119288,1.83226137,1.36386691,0.80753702,3703,807,1441,2026-05-03T23:57:15.377Z,2026-05-03 19:57:15.377,102630,10
3.840,-0.49254977,0.59294170,1.30276740,0.71507223,1.44013939,1.28266848,-0.71507223,1.44013939,1.28266848,0.22658510,0.97545063,3867,1387,1040,2026-05-03T23:57:15.417Z,2026-05-03 19:57:15.417,102630,11
3.880,-1.21968834,1.47054236,1.53396694,1.73252918,1.26650171,1.34708461,-1.73252918,1.26650171,1.34708461,1.13203941,0.83577555,3984,1216,1087,2026-05-03T23:57:15.457Z,2026-05-03 19:57:15.457,102630,12
3.920,-0.44382593,0.97634035,1.36395131,1.53251628,-0.69225314,2.08718475,-1.53251628,-0.69225314,2.08718475,0.55107003,0.94299294,3961,-713,1627,2026-05-03T23:57:15.497Z,2026-05-03 19:57:15.497,102630,13
3.960,1.69073588,-0.84439214,0.87761079,0.11503351,-1.71072443,2.78753878,-0.11503351,-1.71072443,2.78753878,0.18824011,2.27820697,3798,-1716,2138,2026-05-03T23:57:15.537Z,2026-05-03 19:57:15.537,102630,14
4.000,1.23413295,-1.54479708,0.35807827,0.48897068,-1.10756197,1.36627239,-0.48897068,-1.10756197,1.36627239,0.71224914,0.66706710,3841,-1122,1101,2026-05-03T23:57:15.577Z,2026-05-03 19:57:15.577,102630,15
4.040,0.24019925,-0.92560965,2.37897808,-1.27636062,-1.35126397,-2.04778219,1.27636062,-1.35126397,-2.04778219,1.35459320,1.39820843,3638,-1362,-1390,2026-05-03T23:57:15.617Z,2026-05-03 19:57:15.617,102630,16
4.080,-0.05843311,-1.00515980,-2.27844424,-1.78074099,-0.62625051,-3.41696746,1.78074099,-0.62625051,-3.41696746,1.31034558,2.18862525,3580,-648,-2389,2026-05-03T23:57:15.657Z,2026-05-03 19:57:15.657,102630,17
4.120,-0.06970913,-0.69963467,-1.88177062,-1.74595614,-1.35532567,-3.41148524,1.74595614,-1.35532567,-3.41148524,0.78942277,2.54223716,3584,-1366,-2385,2026-05-03T23:57:15.697Z,2026-05-03 19:57:15.697,102630,18
