relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_mag_raw_g,sensor_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_mag_raw_counts_interp,thingy_mag_z_interp
4.8828125,2026-05-04T22:12:13.390625Z,2026-05-04T22:13:14.814687500Z,0.9460911750793456,0.2518680393695831,0.4968005120754242,1.0978783036463096,0.32924522456289335,3904.9765625,-127.13281249999875,2339.6953125000027,4558.12359859427,1.2566578563440725
4.890625,2026-05-04T22:12:13.398437Z,2026-05-04T22:13:14.822500Z,0.9439665675163268,0.259782075881958,0.5768522024154663,1.136361769406939,0.6343719846662452,3914.9375,-70.68749999999879,2469.1875000000027,4637.467487523249,1.442338895536777
4.8984375,2026-05-04T22:12:13.406250Z,2026-05-04T22:13:14.830312500Z,0.934124767780304,0.2843621075153351,0.663085401058197,1.1803106112662378,0.9828324848258099,3924.8984375,-14.242187499998845,2598.6796875000027,4716.811376452226,1.6280199347294797
4.90625,2026-05-04T22:12:13.414062Z,2026-05-04T22:13:14.838125Z,0.919315218925476,0.3127439618110657,0.7350488901138306,1.2178859257971788,1.2807587177177533,3934.859375,42.2031250000011,2728.1718750000027,4796.155265381204,1.8137009739221845
4.9140625,2026-05-04T22:12:13.421875Z,2026-05-04T22:13:14.845937500Z,0.9140037894248962,0.3311944901943207,0.7849620580673218,1.249503161269883,1.531444679403685,3944.8203125,98.64843750000105,2857.6640625000023,4875.499154310182,1.9993820131148892
4.921875,2026-05-04T22:12:13.429687Z,2026-05-04T22:13:14.853750Z,0.9113636612892152,0.3417930901050568,0.811179518699646,1.2670510846527996,1.6705782242272111,3950.0,114.6874999999995,2942.4375000000005,4927.1890884569975,2.120347103404001
4.9296875,2026-05-04T22:12:13.437500Z,2026-05-04T22:13:14.861562500Z,0.9041932225227356,0.3473328948020935,0.8198674321174622,1.2690106893618087,1.6861154900146118,3950.0,86.95312499999953,2978.7656250000005,4948.920571589807,2.171203249047564
4.9375,2026-05-04T22:12:13.445312Z,2026-05-04T22:13:14.869375Z,0.8980693817138672,0.3494432866573334,0.8260796666145325,1.269270199979415,1.6881730914389514,3950.0,59.21874999999956,3015.0937500000005,4970.652054722616,2.2220593946911267
4.9453125,2026-05-04T22:12:13.453125Z,2026-05-04T22:13:14.877187500Z,0.8979912996292114,0.3445707559585571,0.8368895649909973,1.2749515771441802,1.7332194554538964,3950.0,31.48437499999958,3051.4218750000005,4992.383537855426,2.2729155403346897
4.953125,2026-05-04T22:12:13.460937Z,2026-05-04T22:13:14.885000Z,0.8986786603927612,0.3362998068332672,0.8467615246772766,1.2797366816635394,1.7711594748853507,3950.0,3.749999999999607,3087.7500000000005,5014.115020988235,2.3237716859782527
4.9609375,2026-05-04T22:12:13.468750Z,2026-05-04T22:13:14.892812500Z,0.9020529985427856,0.3252356946468353,0.8522202372550964,1.2828706879649145,1.7960083072340318,3943.3203124999995,-19.62500000000021,3047.7890624999977,4987.0671570738805,2.260474114516186
4.96875,2026-05-04T22:12:13.476562Z,2026-05-04T22:13:14.900625Z,0.908723533153534,0.3116887509822845,0.8570024371147156,1.2873933021483763,1.831867099723791,3924.7656249999995,-35.25000000000019,2872.2031249999977,4873.300453964575,1.9942366015330206
4.9765625,2026-05-04T22:12:13.484375Z,2026-05-04T22:13:14.908437500Z,0.9206587076187134,0.2987780272960663,0.8647523522377014,1.2979512302893843,1.9155785415962,3906.2109375,-50.87500000000018,2696.6171874999977,4759.533750855269,1.7279990885498528
4.984375,2026-05-04T22:12:13.492187Z,2026-05-04T22:13:14.916250Z,0.9238768219947816,0.2940761744976044,0.8661670684814453,1.300105599229564,1.9326600492460861,3887.65625,-66.50000000000017,2521.031249999998,4645.767047745963,1.461761575566685
4.9921875,2026-05-04T22:12:13.500000Z,2026-05-04T22:13:14.924062500Z,0.917409360408783,0.2968693673610687,0.8466077446937561,1.283166407454022,1.7983530006712618,3869.1015625,-82.12500000000016,2345.445312499998,4532.000344636657,1.1955240625835175
5.0,2026-05-04T22:12:13.507812Z,2026-05-04T22:13:14.931875Z,0.9120197892189026,0.2980642020702362,0.7990626096725464,1.2486486369909504,1.524669348245047,3848.1093749999995,-87.57812499999976,2122.093749999997,4411.522711191434,0.9135815906483326
5.0078125,2026-05-04T22:12:13.515625Z,2026-05-04T22:13:14.939687500Z,0.9141131043434144,0.2923692166805267,0.7223169207572937,1.2011761987348224,1.1482710433367151,3819.3984374999995,-60.82031249999979,1747.484374999997,4269.7937983491365,0.5819067486984233
5.015625,2026-05-04T22:12:13.523437Z,2026-05-04T22:13:14.947500Z,0.9160346388816832,0.2868759632110596,0.6223676204681396,1.144009935667756,0.6950125778604869,3790.6875,-34.062499999999815,1372.8749999999973,4128.064885506839,0.2502319067485139
5.0234375,2026-05-04T22:12:13.531250Z,2026-05-04T22:13:14.955312500Z,0.914206862449646,0.2882260084152222,0.516067624092102,1.0886570680949372,0.2561321181332072,3761.9765625,-7.3046874999998375,998.2656249999977,3986.335972664542,-0.08144293520139541
5.03125,2026-05-04T22:12:13.539062Z,2026-05-04T22:13:14.963125Z,0.9116761088371276,0.2959693372249603,0.4224997162818909,1.0475004469020845,-0.0701894912428265,3733.265625,19.45312500000014,623.6562499999981,3844.607059822245,-0.4131177771513047
5.0390625,2026-05-04T22:12:13.546875Z,2026-05-04T22:13:14.970937500Z,0.9067864418029784,0.3084920942783356,0.3364971876144409,1.0152139580119888,-0.3261818130213486,3706.3125,44.757812500000064,255.07031249999855,3723.7852941935444,-0.6958655892621505
5.046875,2026-05-04T22:12:13.554687Z,2026-05-04T22:13:14.978750Z,0.9006158113479614,0.3216200768947601,0.2357790172100067,0.9849568815274377,-0.5660833794591473,3692.25,59.40625000000005,-69.34375000000115,3756.2826081312132,-0.6198151825532083
5.0546875,2026-05-04T22:12:13.562500Z,2026-05-04T22:13:14.986562500Z,0.8957886099815369,0.3299065232276917,0.11522476375103,0.9615364236586766,-0.7517789317797764,3678.1875,74.05468750000004,-393.75781250000085,3788.7799220688817,-0.5437647758442673
5.0625,2026-05-04T22:12:13.570312Z,2026-05-04T22:13:14.994375Z,0.8996628522872925,0.3319703638553619,-0.0086662601679563,0.9589956591816601,-0.7719240828916827,3664.125,88.70312500000003,-718.1718750000006,3821.27723600655,-0.4677143691353262
5.0703125,2026-05-04T22:12:13.578125Z,2026-05-04T22:13:15.002187500Z,0.9018030762672424,0.3313031196594238,-0.1179954260587692,0.9679532354571262,-0.7009014716665828,3650.0625,103.35156250000001,-1042.5859375000002,3853.774549944219,-0.39166396242638407
5.078125,2026-05-04T22:12:13.585937Z,2026-05-04T22:13:15.010000Z,0.9065364599227904,0.335849791765213,-0.2004766762256622,0.9873167341378201,-0.5473726379213081,3636.0,118.0,-1367.0,3886.2718638818874,-0.31561355571744304
5.0859375,2026-05-04T22:12:13.593750Z,2026-05-04T22:13:15.017812500Z,0.906380295753479,0.3451604247093201,-0.2663048505783081,1.0057729528860961,-0.4010374230669974,3629.1640625,92.60937500000003,-1554.1093749999998,3964.416081741281,-0.13273999387298532
5.09375,2026-05-04T22:12:13.601562Z,2026-05-04T22:13:15.025625Z,0.9076456427574158,0.3523295819759369,-0.3258746266365051,1.02671856876037,-0.23496433729453853,3622.328125,67.21875000000004,-1741.2187499999995,4042.560299600674,0.05013356797147235
5.1015625,2026-05-04T22:12:13.609375Z,2026-05-04T22:13:15.033437500Z,0.9131445288658142,0.3536330759525299,-0.3888888359069824,1.053624131129458,-0.021636173830701603,3615.4921875,41.828125000000064,-1928.3281249999995,4120.704517460068,0.2330071298159311
5.109375,2026-05-04T22:12:13.617187Z,2026-05-04T22:13:15.041250Z,0.9181279540061952,0.3482018709182739,-0.4592070281505585,1.084008568942818,0.21927521198936448,3608.65625,16.437500000000085,-2115.437499999999,4198.848735319461,0.41588069166038877
5.1171875,2026-05-04T22:12:13.625000Z,2026-05-04T22:13:15.049062500Z,0.9248453974723816,0.3394809365272522,-0.5284180641174316,1.1179498942156942,0.48838835992007557,3601.8203125,-8.953124999999893,-2302.546874999999,4276.992953178855,0.5987542535048465
5.125,2026-05-04T22:12:13.632812Z,2026-05-04T22:13:15.056875Z,0.9319220781326294,0.3325600624084473,-0.5826059579849243,1.148261580433518,0.7287229146725756,3600.65625,-38.46874999999984,-2402.6874999999995,4331.484903264617,0.7262766381035922
5.1328125,2026-05-04T22:12:13.640625Z,2026-05-04T22:13:15.064687500Z,0.9387488961219788,0.3293634057044983,-0.6151279807090759,1.1696632744677953,0.8984121417817162,3600.265625,-68.54687499999982,-2490.9687499999995,4382.751544108521,0.8462511348961049
5.140625,2026-05-04T22:12:13.648437Z,2026-05-04T22:13:15.072500Z,0.9432479739189148,0.3285409808158875,-0.6332879662513733,1.1826705224095186,1.0015436904578594,3599.875,-98.62499999999979,-2579.2499999999995,4434.018184952424,0.9662256316886176
5.1484375,2026-05-04T22:12:13.656250Z,2026-05-04T22:13:15.080312500Z,0.9471222162246704,0.3278892338275909,-0.6541081666946411,1.1968330442726756,1.113835146686808,3599.484375,-128.70312499999974,-2667.531249999999,4485.284825796328,1.0862001284811302
5.15625,2026-05-04T22:12:13.664062Z,2026-05-04T22:13:15.088125Z,0.9522930383682252,0.3194786310195923,-0.6869838237762451,1.2169122403579355,1.273038584471853,3599.09375,-158.78124999999972,-2755.812499999999,4536.551466640231,1.206174625273643
5.1640625,2026-05-04T22:12:13.671875Z,2026-05-04T22:13:15.095937500Z,0.9601040482521056,0.3060558140277863,-0.7293315529823303,1.2439431092079372,1.487360274890328,3598.8515625,-141.3593750000003,-2815.8906249999995,4572.728472314745,1.2908362683969952
5.171875,2026-05-04T22:12:13.679687Z,2026-05-04T22:13:15.103750Z,0.9666964411735536,0.2937347888946533,-0.7686347365379333,1.2694807969391813,1.6898428674518713,3598.65625,-108.93750000000034,-2867.0624999999995,4604.140330041029,1.3643464840458739
5.1796875,2026-05-04T22:12:13.687500Z,2026-05-04T22:13:15.111562500Z,0.9687429666519164,0.2905536592006683,-0.7928993701934814,1.285135703171332,1.813967104287753,3598.4609375,-76.51562500000037,-2918.2343749999995,4635.552187767314,1.4378566996947524
5.1875,2026-05-04T22:12:13.695312Z,2026-05-04T22:13:15.119375Z,0.9680556058883668,0.296714186668396,-0.7942986488342285,1.2868882267710984,1.827862470451693,3598.265625,-44.093750000000405,-2969.4062499999995,4666.964045493598,1.511366915343631
5.1953125,2026-05-04T22:12:13.703125Z,2026-05-04T22:13:15.127187500Z,0.9639782309532166,0.3112232089042664,-0.7789525985717773,1.2778423479968435,1.7561397285384674,3598.0703125,-11.67187500000043,-3020.5781249999995,4698.375903219882,1.5848771309925098
