relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_dynamic_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_dynamic_mag_z_interp
23.007812488,2026-05-04T22:12:31.515625Z,2026-05-04T22:13:32.939687488Z,0.9428730607032776,0.3286806344985962,-0.0930849835276603,-0.5488373538047275,3824.8281376000027,23.91406880000131,72.79696320001831,-0.5235853804823982
23.015624988,2026-05-04T22:12:31.523437Z,2026-05-04T22:13:32.947499988Z,0.9431855082511902,0.3296116888523102,-0.0933310166001319,-0.5411352195063595,3816.6250126000023,19.81250630000122,15.375088200017094,-0.5084938989939611
23.023437488,2026-05-04T22:12:31.531250Z,2026-05-04T22:13:32.955312488Z,0.9408109784126282,0.3304961919784546,-0.0920854955911636,-0.5581548130799574,3808.4218876000023,15.710943800001134,-42.046786799984126,-0.4934024175055241
23.031249988,2026-05-04T22:12:31.539062Z,2026-05-04T22:13:32.963124988Z,0.9417014122009276,0.3310393095016479,-0.0877799838781356,-0.5582307696452045,3800.2187626000023,11.609381300001047,-99.46866179998536,-0.4783109360170871
23.039062488,2026-05-04T22:12:31.546875Z,2026-05-04T22:13:32.970937488Z,0.943138599395752,0.3329634964466095,-0.0831208080053329,-0.5384931854720806,3792.7187536000006,7.554693200000867,-155.5546163999892,-0.4654262972062566
23.046874988,2026-05-04T22:12:31.554687Z,2026-05-04T22:13:32.978749988Z,0.9396705627441406,0.3348721861839294,-0.0793996155261993,-0.5511130847708218,3790.3750036000006,3.8437557000007883,-201.84367889999018,-0.46872540676414315
23.054687488,2026-05-04T22:12:31.562500Z,2026-05-04T22:13:32.986562488Z,0.9372022747993468,0.334918737411499,-0.0715574398636817,-0.5169337820407797,3788.0312536000006,0.13281820000070904,-248.13274139999115,-0.4720245163220297
23.062499988,2026-05-04T22:12:31.570312Z,2026-05-04T22:13:32.994374988Z,0.9384364485740662,0.3341583609580994,-0.0609013065695762,-0.5198631607364806,3785.6875036000006,-3.57811929999937,-294.42180389999214,-0.4753236258799162
23.070312488,2026-05-04T22:12:31.578125Z,2026-05-04T22:13:33.002187488Z,0.940326690673828,0.335508406162262,-0.0496147200465202,-0.5399659223163461,3783.3437536,-7.289056799999449,-340.7108663999931,-0.47862273543780276
23.078124988,2026-05-04T22:12:31.585937Z,2026-05-04T22:13:33.009999988Z,0.9373897910118104,0.3370912075042725,-0.0391584858298301,-0.5083091709653746,3781.0000036,-10.999994299999528,-386.99992889999413,-0.4819218449956893
23.085937488,2026-05-04T22:12:31.593750Z,2026-05-04T22:13:33.017812488Z,0.9371866583824158,0.3376343250274658,-0.0246735271066427,-0.5032814154745189,3777.093756,-11.0,-406.9218443999979,-0.4767098775358075
