relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
8.200,2026-05-03T23:57:19.777Z,2026-05-03 19:57:19.777,102631,20,3821,280,55
8.240,2026-05-03T23:57:19.817Z,2026-05-03 19:57:19.817,102631,21,3824,278,-1
8.280,2026-05-03T23:57:19.857Z,2026-05-03 19:57:19.857,102631,22,3793,225,-28
8.320,2026-05-03T23:57:19.897Z,2026-05-03 19:57:19.897,102631,23,3813,193,-35
8.360,2026-05-03T23:57:19.937Z,2026-05-03 19:57:19.937,102631,24,3817,160,-1
8.400,2026-05-03T23:57:19.977Z,2026-05-03 19:57:19.977,102631,25,3810,167,55
8.440,2026-05-03T23:57:20.017Z,2026-05-03 19:57:20.017,102631,26,3816,177,127
8.480,2026-05-03T23:57:20.057Z,2026-05-03 19:57:20.057,102631,27,3799,142,223
8.520,2026-05-03T23:57:20.097Z,2026-05-03 19:57:20.097,102631,28,3826,154,249
8.560,2026-05-03T23:57:20.137Z,2026-05-03 19:57:20.137,102631,29,3820,120,248
8.600,2026-05-03T23:57:20.177Z,2026-05-03 19:57:20.177,102631,30,3802,161,217
8.640,2026-05-03T23:57:20.217Z,2026-05-03 19:57:20.217,102631,31,3822,207,150
8.680,2026-05-03T23:57:20.257Z,2026-05-03 19:57:20.257,102631,32,3808,155,90
8.720,2026-05-03T23:57:20.297Z,2026-05-03 19:57:20.297,102631,33,3801,191,17
8.760,2026-05-03T23:57:20.337Z,2026-05-03 19:57:20.337,102631,34,3814,138,-13
8.800,2026-05-03T23:57:20.377Z,2026-05-03 19:57:20.377,102631,35,3809,194,-14
8.840,2026-05-03T23:57:20.417Z,2026-05-03 19:57:20.417,102631,36,3806,205,40
8.880,2026-05-03T23:57:20.457Z,2026-05-03 19:57:20.457,102631,37,3813,233,87
8.920,2026-05-03T23:57:20.497Z,2026-05-03 19:57:20.497,102631,38,3797,187,143
8.960,2026-05-03T23:57:20.537Z,2026-05-03 19:57:20.537,102631,39,3824,216,190
9.000,2026-05-03T23:57:20.577Z,2026-05-03 19:57:20.577,102631,40,3813,232,231
9.040,2026-05-03T23:57:20.617Z,2026-05-03 19:57:20.617,102631,41,3819,215,230
9.080,2026-05-03T23:57:20.657Z,2026-05-03 19:57:20.657,102631,42,3822,321,191
9.120,2026-05-03T23:57:20.697Z,2026-05-03 19:57:20.697,102631,43,3821,298,156
9.160,2026-05-03T23:57:20.737Z,2026-05-03 19:57:20.737,102631,44,3798,628,92
9.200,2026-05-03T23:57:20.777Z,2026-05-03 19:57:20.777,102631,45,3799,1076,104
9.240,2026-05-03T23:57:20.817Z,2026-05-03 19:57:20.817,102631,46,3845,1519,47
9.280,2026-05-03T23:57:20.857Z,2026-05-03 19:57:20.857,102631,47,3762,1198,217
9.320,2026-05-03T23:57:20.897Z,2026-05-03 19:57:20.897,102631,48,3826,1463,76
9.360,2026-05-03T23:57:20.937Z,2026-05-03 19:57:20.937,102631,49,3757,1243,360
9.400,2026-05-03T23:57:20.977Z,2026-05-03 19:57:20.977,102631,50,3770,1420,230
9.440,2026-05-03T23:57:21.017Z,2026-05-03 19:57:21.017,102631,51,3725,1333,368
9.480,2026-05-03T23:57:21.057Z,2026-05-03 19:57:21.057,102631,52,3741,1386,408
9.520,2026-05-03T23:57:21.097Z,2026-05-03 19:57:21.097,102631,53,4232,1004,361
9.560,2026-05-03T23:57:21.137Z,2026-05-03 19:57:21.137,102631,54,3748,-3101,2915
9.600,2026-05-03T23:57:21.177Z,2026-05-03 19:57:21.177,102631,55,3686,314,-971
9.640,2026-05-03T23:57:21.217Z,2026-05-03 19:57:21.217,102631,56,3640,-2128,-514
9.680,2026-05-03T23:57:21.257Z,2026-05-03 19:57:21.257,102631,57,3563,-764,65
9.720,2026-05-03T23:57:21.297Z,2026-05-03 19:57:21.297,102631,58,3537,-1123,-1456
9.760,2026-05-03T23:57:21.337Z,2026-05-03 19:57:21.337,102631,59,3661,-1254,-1841
9.800,2026-05-03T23:57:21.377Z,2026-05-03 19:57:21.377,102631,60,3547,-631,-1814
9.840,2026-05-03T23:57:21.417Z,2026-05-03 19:57:21.417,102631,61,3659,-1362,-831
9.880,2026-05-03T23:57:21.457Z,2026-05-03 19:57:21.457,102631,62,3666,-1026,-652
9.920,2026-05-03T23:57:21.497Z,2026-05-03 19:57:21.497,102631,63,3701,-951,23
9.960,2026-05-03T23:57:21.537Z,2026-05-03 19:57:21.537,102631,64,3755,-1394,591
10.000,2026-05-03T23:57:21.577Z,2026-05-03 19:57:21.577,102631,65,3758,-805,543
10.040,2026-05-03T23:57:21.617Z,2026-05-03 19:57:21.617,102631,66,3727,-1486,973
10.080,2026-05-03T23:57:21.657Z,2026-05-03 19:57:21.657,102631,67,3743,-817,653
10.120,2026-05-03T23:57:21.697Z,2026-05-03 19:57:21.697,102631,68,3755,-1472,928
