relative_time_s,lord_dynamic_mag_norm,prototype_dynamic_mag_norm,lord_dynamic_envelope_norm,prototype_dynamic_envelope_norm,sample_ts_utc,sample_ts_et
5.920,-0.61545692,-0.23535068,-0.43049385,-0.51662538,2026-05-03T23:57:17.497Z,2026-05-03 19:57:17.497
5.960,-0.21805582,-0.03110105,-0.58399887,-0.60420813,2026-05-03T23:57:17.537Z,2026-05-03 19:57:17.537
6.000,-0.13853798,-0.63788713,-0.63049034,-0.66119075,2026-05-03T23:57:17.577Z,2026-05-03 19:57:17.577
6.040,-0.70128594,-1.31117775,-0.69305449,-0.69820710,2026-05-03T23:57:17.617Z,2026-05-03 19:57:17.617
6.080,-1.16208867,-0.97533511,-0.73626576,-0.73550162,2026-05-03T23:57:17.657Z,2026-05-03 19:57:17.657
6.120,-0.89893037,-0.73910265,-0.78355893,-0.78596216,2026-05-03T23:57:17.697Z,2026-05-03 19:57:17.697
6.160,-0.65005471,-0.66058375,-0.84733960,-0.83794112,2026-05-03T23:57:17.737Z,2026-05-03 19:57:17.737
6.200,-0.68685038,-0.69841748,-0.87711350,-0.91048269,2026-05-03T23:57:17.777Z,2026-05-03 19:57:17.777
6.240,-0.67840830,-0.68453664,-0.94564368,-1.02681695,2026-05-03T23:57:17.817Z,2026-05-03 19:57:17.817
6.280,-0.79299405,-0.77192828,-1.03677268,-1.05434864,2026-05-03T23:57:17.857Z,2026-05-03 19:57:17.857
6.320,-0.72521436,-1.05624889,-1.05286837,-1.04182948,2026-05-03T23:57:17.897Z,2026-05-03 19:57:17.897
6.360,-1.01905012,-1.22862813,-1.04361020,-1.04149225,2026-05-03T23:57:17.937Z,2026-05-03 19:57:17.937
6.400,-1.06545601,-0.87325461,-1.04695255,-1.07304789,2026-05-03T23:57:17.977Z,2026-05-03 19:57:17.977
6.440,-0.73881351,-0.80331778,-1.08256841,-1.10778314,2026-05-03T23:57:18.017Z,2026-05-03 19:57:18.017
6.480,-0.71061457,-0.89426239,-1.10681802,-1.12711484,2026-05-03T23:57:18.057Z,2026-05-03 19:57:18.057
6.520,-0.86135915,-0.99907787,-1.11961937,-1.15466005,2026-05-03T23:57:18.097Z,2026-05-03 19:57:18.097
6.560,-0.94975419,-0.97061694,-1.12468129,-1.18381960,2026-05-03T23:57:18.137Z,2026-05-03 19:57:18.137
6.600,-0.94586424,-1.13453729,-1.15531815,-1.18975123,2026-05-03T23:57:18.177Z,2026-05-03 19:57:18.177
6.640,-1.04620849,-0.98944410,-1.15879641,-1.18786662,2026-05-03T23:57:18.217Z,2026-05-03 19:57:18.217
6.680,-0.91543839,-0.85944555,-1.15863012,-1.20917995,2026-05-03T23:57:18.257Z,2026-05-03 19:57:18.257
6.720,-0.77884661,-0.91116807,-1.18557482,-1.23163149,2026-05-03T23:57:18.297Z,2026-05-03 19:57:18.297
6.760,-0.83960402,-1.05445784,-1.20819010,-1.24645294,2026-05-03T23:57:18.337Z,2026-05-03 19:57:18.337
6.800,-1.04658661,-1.14918545,-1.21678080,-1.26119346,2026-05-03T23:57:18.377Z,2026-05-03 19:57:18.377
6.840,-1.08112793,-1.18219061,-1.22762614,-1.28150957,2026-05-03T23:57:18.417Z,2026-05-03 19:57:18.417
6.880,-1.06229568,-1.10486347,-1.24137869,-1.27046704,2026-05-03T23:57:18.457Z,2026-05-03 19:57:18.457
6.920,-0.98604333,-0.99190371,-1.22200923,-1.26076708,2026-05-03T23:57:18.497Z,2026-05-03 19:57:18.497
6.960,-0.87745853,-1.03211590,-1.20485167,-1.26371486,2026-05-03T23:57:18.537Z,2026-05-03 19:57:18.537
7.000,-0.94012629,-1.19251762,-1.22076628,-1.25198208,2026-05-03T23:57:18.577Z,2026-05-03 19:57:18.577
7.040,-1.09565608,-1.22961125,-1.21080180,-1.23159321,2026-05-03T23:57:18.617Z,2026-05-03 19:57:18.617
7.080,-1.14198834,-1.00827472,-1.19417640,-1.22115633,2026-05-03T23:57:18.657Z,2026-05-03 19:57:18.657
7.120,-0.85175887,-0.90776382,-1.19032846,-1.21859853,2026-05-03T23:57:18.697Z,2026-05-03 19:57:18.697
7.160,-0.77871969,-0.88064371,-1.19050933,-1.22741575,2026-05-03T23:57:18.737Z,2026-05-03 19:57:18.737
7.200,-0.90419763,-0.82609713,-1.20117124,-1.24536787,2026-05-03T23:57:18.777Z,2026-05-03 19:57:18.777
7.240,-0.76811034,-0.86712934,-1.21724091,-1.24670010,2026-05-03T23:57:18.817Z,2026-05-03 19:57:18.817
7.280,-0.86282880,-1.01063564,-1.21799228,-1.22814949,2026-05-03T23:57:18.857Z,2026-05-03 19:57:18.857
7.320,-1.01813919,-1.13556446,-1.20096702,-1.21237235,2026-05-03T23:57:18.897Z,2026-05-03 19:57:18.897
7.360,-1.06548206,-1.30686879,-1.18287303,-1.21395896,2026-05-03T23:57:18.937Z,2026-05-03 19:57:18.937
7.400,-1.20841679,-1.27438060,-1.19393433,-1.23658254,2026-05-03T23:57:18.977Z,2026-05-03 19:57:18.977
7.440,-1.06044499,-1.04701370,-1.22691114,-1.26619977,2026-05-03T23:57:19.017Z,2026-05-03 19:57:19.017
7.480,-0.94784125,-0.95667595,-1.24603758,-1.30971409,2026-05-03T23:57:19.057Z,2026-05-03 19:57:19.057
7.520,-0.88629184,-0.99274920,-1.28576311,-1.33995736,2026-05-03T23:57:19.097Z,2026-05-03 19:57:19.097
7.560,-0.88721630,-1.02625769,-1.29435086,-1.32584434,2026-05-03T23:57:19.137Z,2026-05-03 19:57:19.137
7.600,-0.96136469,-1.17477567,-1.27860961,-1.30493500,2026-05-03T23:57:19.177Z,2026-05-03 19:57:19.177
7.640,-1.14310006,-1.21623008,-1.26208038,-1.27755720,2026-05-03T23:57:19.217Z,2026-05-03 19:57:19.217
7.680,-1.16366110,-1.28421167,-1.23283870,-1.24004775,2026-05-03T23:57:19.257Z,2026-05-03 19:57:19.257
7.720,-1.12806491,-1.10354747,-1.20198881,-1.20648039,2026-05-03T23:57:19.297Z,2026-05-03 19:57:19.297
7.760,-0.92427245,-0.90941632,-1.17534498,-1.17957020,2026-05-03T23:57:19.337Z,2026-05-03 19:57:19.337
7.800,-0.88336221,-0.94151750,-1.14559672,-1.13228467,2026-05-03T23:57:19.377Z,2026-05-03 19:57:19.377
7.840,-0.89964299,-0.94348853,-1.11176951,-1.09765204,2026-05-03T23:57:19.417Z,2026-05-03 19:57:19.417
7.880,-0.83975837,-0.84352491,-1.08310590,-1.07338052,2026-05-03T23:57:19.457Z,2026-05-03 19:57:19.457
7.920,-0.76976000,-0.76265707,-1.06249563,-1.06014160,2026-05-03T23:57:19.497Z,2026-05-03 19:57:19.497
7.960,-0.72682510,-0.73891763,-1.05210730,-1.05265276,2026-05-03T23:57:19.537Z,2026-05-03 19:57:19.537
8.000,-0.65742219,-0.61202562,-1.04615399,-1.04248705,2026-05-03T23:57:19.577Z,2026-05-03 19:57:19.577
8.040,-0.61826092,-0.69204744,-1.03915852,-1.04388512,2026-05-03T23:57:19.617Z,2026-05-03 19:57:19.617
8.080,-0.68061665,-0.83337663,-1.04088584,-1.04693443,2026-05-03T23:57:19.657Z,2026-05-03 19:57:19.657
8.120,-0.81409440,-0.96636340,-1.04240639,-1.05201503,2026-05-03T23:57:19.697Z,2026-05-03 19:57:19.697
